gyroscopeZ,gyroscopeX,accelerometerX,accelerometerY,accelerometerZ,gyroscopeY
-0.021149227395653725,-0.014042316004633904,0.004974365234375,-0.0125579833984375,-1.0049896240234375,0.024096015840768814
-0.021162543445825577,-0.01375256385654211,0.0066680908203125,-0.0084381103515625,-1.003143310546875,0.02556501515209675
-0.020651748403906822,-0.011833489872515202,-0.0003204345703125,0.0030975341796875,-1.004974365234375,0.024890435859560966
-0.020893031731247902,-0.013071061111986637,-0.0020294189453125,0.0056610107421875,-1.0032196044921875,0.023033946752548218
-0.022823823615908623,-0.014385596849024296,-0.00042724609375,-0.0013275146484375,-1.002593994140625,0.024702150374650955
-0.020006731152534485,-0.013295565731823444,0.0049285888671875,-0.00823974609375,-1.005767822265625,0.023692280054092407
-0.02135562151670456,-0.012199941091239452,0.001556396484375,-0.0060577392578125,-1.0041961669921875,0.025598037987947464
-0.020414726808667183,-0.012709669768810272,0.001556396484375,0.005859375,-1.004425048828125,0.024322915822267532
-0.020720724016427994,-0.012692891992628574,-0.0050811767578125,-0.001312255859375,-1.0039825439453125,0.02431013248860836
-0.022906914353370667,-0.014817029237747192,0.005035400390625,-0.0059051513671875,-1.005615234375,0.024943700060248375
-0.018991267308592796,-0.01335894875228405,0.006683349609375,-0.0055694580078125,-1.003570556640625,0.02347549796104431
-0.019705794751644135,-0.012606872245669365,-0.00457763671875,-0.0003814697265625,-1.0055999755859375,0.02466380037367344
-0.020180635154247284,-0.011010040529072285,0.0009002685546875,0.0052337646484375,-1.0029144287109375,0.024516262114048004
-0.020788902416825294,-0.014118748717010021,-0.0015106201171875,0.000732421875,-1.0042266845703125,0.024521054700016975
-0.01973748579621315,-0.013189039193093777,0.004669189453125,-0.0066375732421875,-1.001678466796875,0.024936508387327194
-0.021824073046445847,-0.01303137931972742,0.002197265625,-0.0034027099609375,-1.0037994384765625,0.024934111163020134
-0.01919792965054512,-0.012924587354063988,0.00067138671875,0.003265380859375,-1.000274658203125,0.025596972554922104
-0.020982246845960617,-0.01350622158497572,0.002349853515625,-0.0004119873046875,-1.0035858154296875,0.024146081879734993
-0.021501297131180763,-0.01261139940470457,-0.0003814697265625,-0.0024871826171875,-1.0040740966796875,0.024504011496901512
-0.018908975645899773,-0.013802098110318184,0.0024871826171875,-0.0018768310546875,-1.00537109375,0.024037959054112434
-0.020077837631106377,-0.014072675257921219,0.001251220703125,-0.0039520263671875,-1.00421142578125,0.024453410878777504
-0.02220037765800953,-0.012806875631213188,-0.001312255859375,0.0025634765625,-1.0052490234375,0.02383742295205593
-0.02062884531915188,-0.013560550287365913,0.00067138671875,0.0001220703125,-1.0027313232421875,0.024541562423110008
-0.019631225615739822,-0.013949370943009853,0.0032806396484375,-0.00677490234375,-1.0034942626953125,0.024168718606233597
-0.02033483237028122,-0.012711534276604652,0.00079345703125,-0.002685546875,-1.003387451171875,0.02599884383380413
-0.020316457375884056,-0.013206349685788155,0.0007476806640625,0.0029144287109375,-1.0030364990234375,0.02468111179769039
-0.020290357992053032,-0.014004498720169067,-0.000762939453125,-0.0024566650390625,-1.0045166015625,0.023923974484205246
-0.02110954560339451,-0.014257232658565044,0.0020294189453125,-0.0028076171875,-1.0050048828125,0.024538898840546608
-0.021457888185977936,-0.011827364563941956,0.0015716552734375,-0.001953125,-1.0055694580078125,0.025835858657956123
-0.021213144063949585,-0.012232697568833828,-0.0004119873046875,-0.002899169921875,-1.0062103271484375,0.024409735575318336
-0.02088158018887043,-0.012978116981685162,0.0002899169921875,-0.000396728515625,-1.004730224609375,0.02436526119709015
-0.020633639767766,-0.013814348727464676,0.0028076171875,-0.000885009765625,-1.0051727294921875,0.02383289486169815
-0.020329773426055908,-0.01335974782705307,0.001007080078125,-0.00482177734375,-1.0037689208984375,0.024334900081157684
