angle_using_gyroscope,angle_using_accelerometer,angle_using_complementary_filter
0.00012454128717819476,0.003328929675680596,7.613450802453256e-05
0.00019924645734578327,0.0011038538813383065,0.0001537794003308948
0.00017511073462199078,0.0017201863613315643,0.0001120819741797809
0.0001845366867982136,0.0021050087252212275,8.970390500197017e-05
0.0001623092642026622,0.003042250367366433,0.00012737365990318243
0.00015903891662661423,0.0027968795436114587,5.19610093167183e-05
9.975711771682271e-05,0.001662358692048442,5.9578420422091934e-05
9.23748234317366e-05,0.0016683702328019593,9.099685046418316e-05
7.75144713037501e-05,0.0036962654386762696,0.00015571649224193406
6.696220410879893e-05,0.0017127774521217933,0.0002869155711109081
5.959705402187855e-05,0.004341776410531526,0.00030439959809237224
8.371352339364904e-05,0.006629367855845391,0.00034122383794779463
0.00011228162802829321,0.00542684998982017,0.00036470274047112247
8.321771435589989e-05,0.005121838342388113,0.0003671910918162539
0.00011485283216913231,0.0036116326895107753,0.0005042281831738983
0.00016668882922411164,0.0022117291192848675,0.0005903079444812768
0.00018215992041556816,0.0016068197421537551,0.00061729038147694
0.00021980353345817322,0.0030592035371117274,0.0006592349337277474
0.00020811672344011657,0.0022722927057891506,0.0006125142282934667
0.00020923650910061498,0.0017549209602328432,0.0006002588585075023
0.0002941517568005738,0.002052787665569722,0.0007202567400483312
0.00030977863247829486,0.0016976014548790608,0.0007160459406854445
0.00034206256713546074,0.0027066530449008645,0.0007766252239330429
0.0003605803308134944,0.0031444999699449393,0.0008395841636725882
0.0003849766045763243,0.0030358374445578124,0.0009004032170021019
0.00033097124287733494,0.004047009265127951,0.0008991026498573291
0.0002961909421346556,0.0034689888308762473,0.0008297686487257182
0.00024172694473903673,0.0036581462787314634,0.0008040405456102757
0.00016862514305669718,0.0020790745422771826,0.0007621333043555799
0.00012393552065877481,0.0023788134324692583,0.0007680599031573602
8.089670101804786e-05,0.002919687767324171,0.0007002315480123674
8.63564229680875e-05,0.0021964270683496575,0.0006612301983285103
0.00012584340301589718,0.003592118423274807,0.0007535792622918413
